state,postal,votes
Alabama,AL,729547
Alaska,AK,116454
Arizona,AZ,1161167
Arkansas,AR,380494
California,CA,8753792
Colorado,CO,1338870
Connecticut,CT,897572
Delaware,DE,235603
District of Columbia,DC,282830
Florida,FL,4504975
Georgia,GA,1877963
Hawaii,HI,266891
Idaho,ID,189765
Illinois,IL,3090729
Indiana,IN,1033126
Iowa,IA,653669
Kansas,KS,427005
Kentucky,KY,628854
Louisiana,LA,780154
Maine,ME,357735
Maryland,MD,1677928
Massachusetts,MA,1995196
Michigan,MI,2268839
Minnesota,MN,1367825
Mississippi,MS,485131
Missouri,MO,1071068
Montana,MT,177709
Nebraska,NE,284494
Nevada,NV,539260
New Hampshire,NH,348526
New Jersey,NJ,2148278
New Mexico,NM,385234
New York,NY,4556142
North Carolina,NC,2189316
North Dakota,ND,93758
Ohio,OH,2394169
Oklahoma,OK,420375
Oregon,OR,1002106
Pennsylvania,PA,2926441
Rhode Island,RI,252525
South Carolina,SC,855373
South Dakota,SD,117458
Tennessee,TN,870695
Texas,TX,3877868
Utah,UT,310676
Vermont,VT,178573
Virginia,VA,1981473
Washington,WA,1742718
West Virginia,WV,188794
Wisconsin,WI,1382536
Wyoming,WY,55973