state,trump,clinton,others,total
AL,1318255,729547,75570,2123372
AK,163387,116454,38767,318608
AZ,1252401,1161167,159597,2573165
AR,684872,380494,65310,1130676
CA,4483814,8753792,943998,14181604
CO,1202484,1338870,238893,2780247
CT,673215,897572,74133,1644920
DE,185127,235603,23084,443814
DC,12723,282830,15715,311268
FL,4617886,4504975,297178,9420039
GA,2089104,1877963,147665,4114732
HI,128847,266891,33199,428937
ID,409055,189765,91435,690255
IL,2146015,3090729,299680,5536424
IN,1557286,1033126,144546,2734958
IA,800983,653669,111379,1566031
KS,671018,427005,86379,1184402
KY,1202971,628854,92324,1924149
LA,1178638,780154,70240,2029032
ME,335593,357735,54599,747927
MD,943169,1677928,160349,2781446
MA,1090893,1995196,238957,3325046
MI,2279543,2268839,250902,4799284
MN,1322951,1367716,254146,2944813
MS,700714,485131,23512,1209357
MO,1594511,1071068,143026,2808605
MT,279240,177709,40198,497147
NE,495961,284494,63772,844227
NV,512058,539260,74067,1125385
NH,345790,348526,49980,744296
NJ,1601933,2148278,123835,3874046
NM,319667,385234,93418,798319
NY,2819533,4556118,345791,7721442
NC,2362631,2189316,189617,4741564
ND,216794,93758,33808,344360
OH,2841005,2394164,261318,5496487
OK,949136,420375,83481,1452992
OR,782403,1002106,216827,2001336
PA,2970733,2926441,268304,6165478
RI,180543,252525,31076,464144
SC,1155389,855373,92265,2103027
SD,227721,117458,24914,370093
TN,1522925,870695,114407,2508027
TX,4685047,3877868,406311,8969226
UT,515231,310676,305523,1131430
VT,95369,178573,41125,315067
VA,1769443,1981473,233715,3984631
WA,1221747,1742718,352554,3317019
WV,489371,188794,36258,714423
WI,1405284,1382536,188330,2976150
WY,174419,55973,25457,255849